"LISTING_ID","COMPANY_CODE","COUNTRY_CODE","ICB5_INDUSTRY_CODE","ICB5_SECTOR_CODE","ICB5_SUBSEC_CODE","ICB5_SUPERSEC_CODE","REGION_GROUP","REGION_NAME","RIC_EXTENSION","SIZE_GROUP","STYLE_GROUP"
3838,"BR046C","BR","35","351010","35101010","3510","LAM","##AMERICAS-NEW##BRIC##DEV-EMER-MARKET##EMERGINGMARKETS##GLB-EX-EASTASIA##GLOBAL-NEW##LATINAMERICA##SW_DM_EM##SW_EM##SW_AMERICAS##SW_LATIN_AMERICA##SW_EM_EX_GCC##","SA","M","M"
3840,"BR05AH","BR","10","101010","10101015","1010","LAM","##AMERICAS-NEW##BRIC##DEV-EMER-MARKET##EMERGINGMARKETS##GLB-EX-EASTASIA##GLOBAL-NEW##LATINAMERICA##SW_DM_EM##SW_EM##SW_AMERICAS##SW_LATIN_AMERICA##SW_EM_EX_GCC##","SA","M","M"
3841,"BR1047","BR","20","201010","20101025","2010","LAM","##AMERICAS-NEW##BRIC##DEV-EMER-MARKET##EMERGINGMARKETS##GLB-EX-EASTASIA##GLOBAL-NEW##LATINAMERICA##SW_DM_EM##SW_EM##SW_AMERICAS##SW_LATIN_AMERICA##SW_EM_EX_GCC##","SA","S","S"
3844,"BR305A","BR","65","651010","65101015","6510","LAM","##AMERICAS-NEW##BRIC##DEV-EMER-MARKET##EMERGINGMARKETS##GLB-EX-EASTASIA##GLOBAL-NEW##LATINAMERICA##SW_DM_EM##SW_EM##SW_AMERICAS##SW_LATIN_AMERICA##SW_EM_EX_GCC##","SA","M","M"
3845,"B1Z774","PL","35","351010","35101010","3510","LEU","##DEV-EMER-MARKET##EAST-EU-EX-GR##EAST-EU-EX-RU##EASTERNEUROPE##EU-ENLARGED##EUROPE-NEW##GLB-EX-EASTASIA##GLOBAL-NEW##DEVELOPEDMARKET##EU-OLD-EX-EURO##EU-OLD-EX-UK##EUROPE-OLD##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLOBAL-OLD##SW_DM_EM##SW_EM##SW_EUROPE##SW_EASTERN_EUROPE##SW_EUROPEAN_UNION##SW_EM_EX_GCC##SW_DM_EM_EUROPE##SW_EM_EUROPE##","WA","S","S"
3847,"B28XVV","GR","65","651010","65101010","6510","LEU","##BALKAN##DEV-EMER-MARKET##EAST-EU-EX-RU##EASTERNEUROPE##EMER-MKT-X-BRIC##EMERGINGMARKETS##EUROPE-NEW##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLOBAL-NEW##GLB-EX-EASTASIA##SW_DM_EM##SW_EM##SW_EUROPE##SW_EASTERN_EUROPE##SW_BALKAN##SW_EUROPEAN_UNION##SW_EUROZONE##SW_EM_EX_GCC##SW_DM_EM_EUROPE##SW_EM_EUROPE##","AT","S","S"
3848,"BBY","US","40","404010","40401030","4040","LAM","##AMERICAS-NEW##AMERICAS-OLD##DEV-EMER-MARKET##DEVELOPEDMARKET##GL-OLD-EX-AS-O##GL-OLD-EX-EU-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##USA##SW_DM_EM##SW_DM##SW_AMERICAS##SW_NORTH_AMERICA##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##","N","M","M"
3854,"BNS","CA","30","301010","30101010","3010","LAM","##AMERICAS-NEW##AMERICAS-OLD##DEV-EMER-MARKET##DEVELOPEDMARKET##GL-OLD-EX-AS-O##GL-OLD-EX-EU-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##SW_DM_EM##SW_DM##SW_AMERICAS##SW_NORTH_AMERICA##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##","TO","L","L"
3855,"BR008A","BR","55","551020","55102010","5510","LAM","##AMERICAS-NEW##BRIC##DEV-EMER-MARKET##EMERGINGMARKETS##GLB-EX-EASTASIA##GLOBAL-NEW##LATINAMERICA##SW_DM_EM##SW_EM##SW_AMERICAS##SW_LATIN_AMERICA##SW_EM_EX_GCC##","SA","M","M"
3856,"BR00IK","BR","45","451020","45102020","4510","LAM","##AMERICAS-NEW##BRIC##DEV-EMER-MARKET##EMERGINGMARKETS##GLB-EX-EASTASIA##GLOBAL-NEW##LATINAMERICA##SW_DM_EM##SW_EM##SW_AMERICAS##SW_LATIN_AMERICA##SW_EM_EX_GCC##","SA","L","L"
3859,"CN1I6O","CN","30","301010","30101010","3010","LAS","##ASIA-NEW##ASIA-NEW-EX-JP##BRIC##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_GREATER_CHINA##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##","HK","L","L"
3860,"CN1I8Q","CN","50","502060","50206025","5020","LAS","##ASIA-NEW##ASIA-NEW-EX-JP##BRIC##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_GREATER_CHINA##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##","HK","L","L"
3878,"CN249E","CN","45","451010","45101015","4510","LAS","##ASIA-NEW##ASIA-NEW-EX-JP##BRIC##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_GREATER_CHINA##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##","SZ","M","M"
3879,"EG203Z","EG","55","552010","55201015","5520","LEU","##AFRICA##DEV-EMER-MARKET##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLB-EX-EASTASIA##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_MIDDLEEAST_AFRICA##SW_AFRICA##SW_EM_EX_GCC##","CA","S","S"
4339,"P","US","60","601010","60101010","6010","LAM","##AMERICAS-NEW##AMERICAS-OLD##DEV-EMER-MARKET##DEVELOPEDMARKET##GL-OLD-EX-AS-O##GL-OLD-EX-EU-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##USA##SW_DM_EM##SW_DM##SW_AMERICAS##SW_NORTH_AMERICA##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##","N","L","L"
4341,"PPG","US","50","502030","50203010","5020","LAM","##AMERICAS-NEW##AMERICAS-OLD##DEV-EMER-MARKET##DEVELOPEDMARKET##GL-OLD-EX-AS-O##GL-OLD-EX-EU-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##USA##SW_DM_EM##SW_DM##SW_AMERICAS##SW_NORTH_AMERICA##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##","N","L","L"
4342,"LFUS","US","50","502020","50202010","5020","LAM","##AMERICAS-NEW##AMERICAS-OLD##DEV-EMER-MARKET##DEVELOPEDMARKET##GL-OLD-EX-AS-O##GL-OLD-EX-EU-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##USA##SW_DM_EM##SW_DM##SW_AMERICAS##SW_NORTH_AMERICA##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##","OQ","S","S"
4344,"LKQX","US","40","401010","40101025","4010","LAM","##AMERICAS-NEW##AMERICAS-OLD##DEV-EMER-MARKET##DEVELOPEDMARKET##GL-OLD-EX-AS-O##GL-OLD-EX-EU-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##USA##SW_DM_EM##SW_DM##SW_AMERICAS##SW_NORTH_AMERICA##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##","OQ","M","M"
4346,"MY242S","MY","45","451010","45101020","4510","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_ASEAN##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##SW_DM_EM_ASEAN##","KL","M","M"
4352,"LTD","US","40","404010","40401030","4040","LAM","##AMERICAS-NEW##AMERICAS-OLD##DEV-EMER-MARKET##DEVELOPEDMARKET##GL-OLD-EX-AS-O##GL-OLD-EX-EU-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##USA##SW_DM_EM##SW_DM##SW_AMERICAS##SW_NORTH_AMERICA##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##","N","S","S"
4353,"MY301O","MY","35","351020","35102045","3510","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_ASEAN##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##SW_DM_EM_ASEAN##","KL","S","S"
4354,"MY309W","MY","60","601010","60101015","6010","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_ASEAN##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##SW_DM_EM_ASEAN##","KL","S","S"
4355,"MY30E1","MY","40","405010","40501010","4050","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_ASEAN##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##SW_DM_EM_ASEAN##","KL","S","S"
4356,"KR116J","KR","20","201030","20103010","2010","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_DM_SOUTH_KOREA##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##","KQ","M","M"
4357,"KR143J","KR","20","201030","20103015","2010","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_DM_SOUTH_KOREA##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##","KS","S","S"
4590,"TH20LX","TH","45","451020","45102010","4510","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_ASEAN##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##SW_DM_EM_ASEAN##","BK","S","S"
4592,"TH211E","TH","20","201010","20101010","2010","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_ASEAN##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##SW_DM_EM_ASEAN##","BK","S","S"
4593,"TW01G6","TW","50","502020","50202040","5020","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_GREATER_CHINA##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##","TW","M","M"
4594,"TW01LB","TW","50","502020","50202010","5020","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_GREATER_CHINA##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##","TW","M","M"
4595,"TW01XN","TW","40","402030","40203050","4020","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_GREATER_CHINA##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##","TW","S","S"
4596,"TW134X","TW","10","101020","10102010","1010","LAS","##ASIA-NEW##ASIA-NEW-EX-CN##ASIA-NEW-EX-JP##DEV-EMER-MARKET##EASTASIA##EASTASIA-EX-JP##EASTASIA-X-BRIC##EMER-MKT-X-BRIC##EMERGINGMARKETS##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_ASIA_PACIFIC##SW_ASIA##SW_EAST_ASIA##SW_GREATER_CHINA##SW_EM_EX_GCC##SW_DM_EM_APAC##SW_DM_EM_ASIA##SW_EM_ASIA##","TW","S","S"
