LISTING_ID,FREE_FLOAT_FACTOR,TRADE_DAYS_6M,DWH_INSTRUMENT_ID,DWH_LISTING_ID,IN_EXCLUSION_LIST,AVG_MCAP_20D,XETRA_TRADING_TYPE,IS_SIBLING_BY_ISSUER_IN_BLUE,COMPLIANCE_CHECK,COMPLIANCE_CHECK_GF_RULE_FLAG,ANN_REP_BREACH_4M,ANN_REP_RECD,SEMI_ANN_REP_BREACH_3M,SEMI_ANN_REP_RECD,QTLY_REP_BREACH_75D,QTLY_REP_RECD,COUNTRY_ID,IS_EUEFTA_COUNTRY,IS_HEADQUATER_IN_GERMANY,IN_RANKING_LIST_COMPOSITION,SUM_TURNOVER_12M,AVG_TURNOVER_3M,IN_COMPOSITION_DAX30,IN_COMPOSITION_MDAX,SUM_TURNOVER_12M_XETRA,SUM_TURNOVER_3M,SUM_TURNOVER_3M_XETRA,TRADE_DAYS_3M,ISSUER
471197,0.4283,129,191133,471197,0,166861839.5,30,0,1,,,1,,1,,1,DE,1,1,0,119236243.5,425317.3376,0,0,117614051.9,28070944.28,27825757.55,66,28439
56089788,0.2481,129,27557124,56089788,0,8840445.943,30,0,0,,,1,,1,,1,DE,1,1,0,2721762.2,8304.282727,0,0,2685396.22,548082.66,535062.76,66,284451
172541,1,129,80772,172541,0,975611610.1,30,0,1,,,1,,1,,1,DE,1,1,1,1097836397,2953540.364,0,0,1084852166,194933664,192585050.1,66,28801
19903722,0.8344,129,10038138,19903722,0,10633455033,30,0,1,,,1,,1,,1,DE,1,1,1,17832008450,76405703.65,1,0,17736876763,5042776441,5023852317,66,28837
91186,0.9892,129,52350,91186,0,20126319339,30,0,1,,,1,,1,,1,DE,1,1,1,27437925932,91553170.21,1,0,27283458879,6042509234,6013210317,66,28851
528962,0.0737,129,216999,528962,0,145238777.3,30,0,1,,,1,,1,,1,DE,1,1,0,120465347.5,230352.2424,0,0,118618206.4,15203248,14804760.75,66,28857
20818168,0.534,129,10454080,20818168,0,2546078772,30,0,1,,,1,,1,,1,DE,1,1,1,3532870085,8926562.955,0,1,3521735902,589153155.1,587497821.5,66,288840
173259,0.1002,129,81075,173259,0,,93,0,0,,,1,0,0,,1,DE,1,1,0,201633.4,430.0757576,0,0,0,28385,0,66,28911
173913,0.6818,129,81479,173913,0,,93,0,1,,,1,0,0,1,0,DE,1,1,0,18927.62,125.6787879,0,0,0,8294.8,0,66,29023
184591,0.8499,129,85626,184591,0,8620001314,30,0,1,,,1,,1,,1,DE,1,1,1,10557631614,34347448.28,0,1,10451657375,2266931587,2247054762,66,29157
191254,1,129,88076,191254,0,1743075846,30,0,1,,,1,,1,,1,DE,1,1,1,2011203527,6330011.048,0,1,2006181721,417780729.2,416499012.4,66,29270
65270340,0.079,129,32449620,65270340,0,,93,0,0,,1,0,0,0,1,0,DE,1,1,0,0,0,0,0,0,0,0,66,293005
210258,0.4978,129,95221,210258,0,11753529177,30,0,1,,,1,,1,,1,DE,1,1,1,5686751867,19492043.76,1,0,5672084361,1286474888,1282925783,66,29323
210290,0.9789,129,95226,210290,0,87317462461,30,0,1,,,1,,1,,1,DE,1,1,1,50044028819,167968829.2,1,0,49864962039,11085942730,11046228012,66,29341
27523278,0.886,129,13708582,27523278,0,6559816318,30,0,1,,,1,,1,,1,DE,1,1,1,9048953762,29821555.37,1,0,9028876219,1968222654,1963486766,66,294675
70360014,0.6152,129,35790701,70360014,0,463229247.6,30,0,1,,,1,,1,,1,DE,1,1,1,72614853.3,78596.75379,0,0,72379581.75,5187385.75,5135458.45,66,295126
17157933,0.2114,129,8653798,17157933,0,3195876012,30,0,1,,,1,,1,,1,DE,1,1,1,1892649887,9567411.648,0,1,1888920508,631449168.8,630472684.5,66,29527
210667,0.9935,129,95360,210667,0,47746669581,30,0,1,,,1,,1,,1,DE,1,1,1,26368990461,84722626.29,1,0,26300740461,5591693335,5578155375,66,29548
99425700,0.3163,129,52011987,99425700,0,,93,0,0,,,1,,1,1,0,DE,1,1,0,15027.77,29.19666667,0,0,0,1926.98,0,66,296416
60553926,0.2841,129,29239802,60553926,0,34316628.31,30,0,1,,,1,0,0,,1,DE,1,1,0,2484792.7,6297.781818,0,0,2423730.8,415653.6,408793,66,296760
33132043,0.3828,129,16496130,33132043,0,5748515.018,30,0,1,,,1,,1,,1,DE,1,1,0,2034395.03,10526.42697,0,0,1992983.78,694744.18,685009.66,66,297587
25457254,0.2486,129,12665440,25457254,0,146871991.3,93,0,1,,,1,,1,,1,DE,1,1,0,150124142.4,25033.67515,0,0,148755085.7,1652222.56,1510756.34,66,298656
31881517,0.2449,129,13403880,31881517,1,1340741.585,30,0,0,,1,0,0,0,1,0,DE,1,1,0,61745.25,656.8977273,0,0,51755.8,43355.25,41438.05,66,302827
35139017,0.9873,129,17379592,35139017,0,4543112924,30,0,1,,,1,,1,,1,DE,1,1,1,2104124832,7575801.133,0,1,2103056173,500002874.8,499836401.1,66,305314
35386552,0.75,129,17460790,35386552,0,687574936.5,30,0,1,,,1,,1,,1,DE,1,1,1,772908570.1,2156814.421,0,0,767301760.8,142349751.8,141298816.1,66,305890
29664168,0.4409,129,14244240,29664168,0,31738354.97,30,0,0,,,1,,1,,1,FI,1,0,0,5188376.01,13987.38697,0,0,4967144.25,923167.54,865033.92,66,306257
36722418,0.5086,129,14886190,36722418,0,110687644.7,30,0,1,,,1,,1,,1,DE,1,1,0,35529550.32,98673.19576,0,0,35192058.28,6512430.92,6468405.96,66,308039
95692434,0.5654,129,49786639,95692434,1,,93,0,1,,1,0,0,0,1,0,DE,1,1,0,189406.54,65.1980303,0,0,124193.42,4303.07,0,66,311653
56461495,0.0476,129,22737393,56461495,0,12067559.56,30,0,1,,,1,0,0,,1,DE,1,1,0,141651719.6,43476.79182,0,0,139080902.8,2869468.26,2621449.62,66,312816
33074551,0.8292,129,16494829,33074551,0,66891082.11,30,0,1,,,1,,1,,1,LU,1,1,0,116761436.7,367659.5039,0,0,113584034.9,24265527.26,23940468.6,66,313891
64535272,0.2776,129,30543123,64535272,0,,93,0,0,,,1,0,0,1,0,DE,1,1,0,758588.18,6392.295455,0,0,0,421891.5,0,66,314744
35172084,0.9769,129,321402,35172084,0,9061464119,30,0,1,,,1,,1,,1,DE,1,1,1,12673108259,56482302.15,1,0,12644074812,3727831942,3719579695,66,316160
35872165,0.9064,129,17845925,35872165,0,13396392.9,30,0,0,,1,0,0,0,1,0,LU,1,1,0,5281881.81,3771.117879,0,0,4928964.93,248893.78,215709.72,66,317928
50854688,0.9465,129,23969372,50854688,0,4210744032,30,0,1,,,1,,1,,1,DE,1,1,1,5427261946,15741538.09,0,1,5419656048,1038941514,1037282261,66,318615
36424147,0.2534,129,18121932,36424147,0,71086704.8,30,0,0,,,1,,1,,1,CH,1,0,0,12604274.09,37372.87273,0,0,12067698.38,2466609.6,2377256.4,66,318847
41992875,0.0088,129,20760057,41992875,0,452022297.5,30,0,1,,,1,,1,,1,DE,1,1,0,1254608400,4440685.467,0,0,1207661133,293085240.8,272311067.3,66,320246
54441540,0.1551,129,27353067,54441540,0,985264057.2,30,0,1,,,1,,1,,1,DE,1,1,1,610717099.4,2228994.85,0,0,604249717.5,147113660.1,144660131.6,66,326567
42733170,0.8161,129,21325670,42733170,0,1810213211,30,0,1,,,1,,1,,1,NL,1,0,1,1960496508,8636173.537,0,1,1924390784,569987453.4,559838888.3,66,328166
48311029,0.3546,129,22634464,48311029,0,933829224.8,30,0,1,,,1,,1,,1,DE,1,1,1,325226465.4,883669.7021,0,0,324105570.5,58322200.34,58116916.35,66,329955
48312106,0.8816,129,22634465,48312106,0,18091285.68,30,1,1,,,1,,1,,1,DE,1,1,0,2579834.15,16910.63333,0,0,2488467.65,1116101.8,1087588.55,66,329955
92414904,0.3503,129,21914861,92414904,0,,93,0,0,,,1,,1,,1,BG,1,1,0,7324544.21,62172.98636,0,0,0,4103417.1,0,66,330022
105659729,0.1556,129,56149023,105659729,0,332936161.6,30,0,1,,,1,,1,,1,DE,1,1,0,217318878.5,624285.2909,0,0,215392589.5,41202829.2,40877114.18,66,330023
46034812,0.491,129,23064335,46034812,0,108538124.3,30,0,1,,,1,,1,,1,DE,1,1,0,64376096.32,225715.1142,0,0,63615804.36,14897197.54,14747506.22,66,330912
44748643,0.9242,129,22597225,44748643,0,39652661984,30,0,0,,,1,,1,,1,IT,1,0,0,125349383.1,419262.8641,0,0,114255050,27671349.03,24836635.16,66,33114
50444809,0.4016,129,25113211,50444809,0,14712724.68,30,0,0,,,1,,1,,1,DE,1,1,0,1439125.49,7166.147879,0,0,363534.22,472965.76,363534.22,66,336346
48023491,0.7459,129,23979078,48023491,0,7348767986,30,0,1,,,1,,1,,1,DE,1,1,1,6460258286,20082680.45,0,1,6449419363,1325456910,1322079717,66,336551
48488657,0.8497,129,24430376,48488657,0,606328670.8,30,0,1,,,1,,1,,1,DE,1,1,1,174652284.5,481414.3917,0,0,173709455.5,31773349.85,31645739.2,66,337770
53236395,0.3226,129,26640470,53236395,0,787242795.2,30,0,1,,,1,,1,,1,DE,1,1,1,351224990.2,873407.2536,0,0,349480700.9,57644878.74,57412117.08,66,338229
49724448,0.561,129,25112405,49724448,0,1247164615,30,0,1,,,1,,1,,1,LU,1,1,1,3957283420,9319519.33,0,0,3940667926,615088275.8,611069545.1,66,340356
78533035,0.7305,129,25962657,78533035,0,167991075.8,30,0,1,,,1,,1,,1,DE,1,1,0,14085938.3,31708.61061,0,0,13092995.75,2092768.3,2004717,66,340807
50936901,0.8948,129,25631519,50936901,0,1195561330,30,0,1,,,1,,1,,1,LU,1,1,1,748142522,2137086.008,0,1,744602829.2,141047676.6,140168495.2,66,341741
53745911,0.23,129,26254507,53745911,0,49483064.1,30,0,1,,,1,,1,,1,DE,1,1,0,23961816.4,67434.03939,0,0,23669015.5,4450646.6,4365539.3,66,343353
56647042,0.0975,129,28493230,56647042,0,4750113.968,30,0,1,,,1,,1,,1,DE,1,1,0,363400.5,2065.819697,0,0,292365.5,136344.1,112344.1,66,343356
54232139,0.2465,129,26965883,54232139,0,12989478001,30,0,1,,,1,,1,,1,DE,1,1,1,8743370213,34577006.16,1,0,8729930541,2282082406,2279344410,66,343965
55115398,0.3721,129,27610705,55115398,0,32517702.49,30,0,1,,,1,,1,,1,DE,1,1,0,9404273.38,30597.72424,0,0,9276706.1,2019449.8,1979586.14,66,345352
84486834,0.4958,129,39857172,84486834,0,842054037.3,30,0,1,,,1,0,0,,1,DE,1,1,1,564690437.4,1848194.477,0,0,563456324,121980835.5,121877566.2,66,350359
57492288,0.1725,129,28690841,57492288,0,1627327.529,30,0,1,,,1,,1,,1,DE,1,1,0,359418.4,848.0621212,0,0,325393.65,55972.1,46238.55,66,351293
67039068,0.1028,129,33841504,67039068,0,1001803023,30,0,1,,,1,,1,,1,DE,1,1,1,513373439.3,1419995.407,0,0,510557241.8,93719696.88,92992942.28,66,351807
59467392,0.6233,129,29937934,59467392,0,121021189.5,30,0,1,,,1,,1,,1,DE,1,1,0,39669778.1,69693.83136,0,0,39209465.83,4599792.87,4576023.9,66,354026
58569935,0.5622,129,29662819,58569935,0,162934951.7,30,0,1,,,1,,1,,1,DE,1,1,0,143351774.4,453482.9903,0,0,142950369.1,29929877.36,29816958.15,66,354307
227276,0.9572,129,99679,227276,0,,93,0,0,,,1,,1,,1,JP,0,0,0,0,0,0,0,0,0,0,66,35613
